ID;IBLOCK_SECTION_ID;NAME_RU;NAME_EN;DESC_RU;DESC_EN;CODE;ARTICLE;MANUFACTURER;JSON(GALLERY);COLOR;XML_ID
125116;225;;Folk Reverse Knit Mid Grey Melange scarf;<p>Британский бренд Folk многое знает о переменчивой погоде. Поэтому к производству шарфов подходит особенно тщательно. Эта модель создана из натуральной мягкой шерсти. Фактурная вязка обеспечит дополнительное тепло и защитит материал от растягивания.</p>;<p>British brand Folk knows everything about the changeable weather and takes a serious approach when it comes to creating scarves and other accessories for the cold season. This scarf is made of soft natural wool. Textured weaving pattern will add more warmth and prevent the material from stretching.</p><br>;F2429AK.MDGREY;F2429AK.MDGREY;folk;["\/upload\/photo\/F2429AK.MDGREY\/01.jpg","\/upload\/photo\/F2429AK.MDGREY\/02.jpg","\/upload\/photo\/F2429AK.MDGREY\/03.jpg"];Серый;Серый;a4fbaa04-43e9-11e4-8b00-2c768a5427a7
132615;131;;Hestra Utsjö Chestnut gloves;<p>Семейная шведская компания Hestra уже почти 80 лет специализируется исключительно на производстве теплых аксессуаров для суровых погодных условий. Перчатки из высококачественной оленьей кожи. Дополнительную защиту от холода гарантирует мягкая подкладка из флиса Primaloft, дышащего, быстро сохнущего и хорошо сохраняющего тепло материала. Регулируемая застежка-кнопка на запястье обеспечивает комфортную посадку.</p><br>;;20830.760;20830.760;hestra;["\/upload\/photo\/20830.760\/01.jpg","\/upload\/photo\/20830.760\/02.jpg","\/upload\/photo\/20830.760\/03.jpg","\/upload\/photo\/20830.760\/04.jpg"];Коричневый;Коричневый;ea8b971f-658f-11e4-8341-2c768a5427a7
136672;88;;Kangol Wool Ushanka Loden hat;<p>Британская марка Kangol с 1938 года создает узнаваемые головные уборы и аксессуары. В основе Kangol Wool Ushanka – силуэт русской охотничьей шапки, название которой уже стало интернациональным. Выполнена из смеси шерсти и вискозы. Передняя часть и откидные клапаны, согревающие уши, из искусственного меха. Клапаны легко фиксируются на макушке специальными шнурами. Хороший вариант для холодного времени года. </p>;;K0102FA.LODEN;K0102FA.LODEN;kangol;["\/upload\/photo\/K0102FA.LODEN\/01.jpg","\/upload\/photo\/K0102FA.LODEN\/02.jpg"];Бежевый;Бежевый;96f79f77-9a4f-11e4-819c-2c768a5427a7
125109;131;;Folk Reverse Knit Mid Grey Melange gloves;<p>Британский бренд Folk многое знает о переменчивой погоде. Поэтому к производству перчаток подходит особенно тщательно. Эта модель создана из натуральной мягкой шерсти. Фактурная вязка обеспечит дополнительное тепло и защитит материал от растягивания.</p>;<p>British brand Folk knows everything about the changeable weather and takes a serious approach when it comes to creating scarves and other accessories for the cold season. These gloves are made of soft natural wool. Textured weaving pattern will add more warmth and prevent the material from stretching.</p>;F2430AK.MDGREY;F2430AK.MDGREY;folk;["\/upload\/photo\/F2430AK.MDGREY\/01.jpg","\/upload\/photo\/F2430AK.MDGREY\/02.jpg","\/upload\/photo\/F2430AK.MDGREY\/03.jpg"];Серый;Серый;a4fba9fd-43e9-11e4-8b00-2c768a5427a7
137569;131;;ASICS Winter Purple/Black gloves;<p>Японский бренд ASICS с 1949 года создает качественные товары для спорта и активного отдыха. Удобные перчатки, выполненные в спортивном стиле. Специальное сенсорное нанесение позволяет пользоваться смартфоном или плейером, не снимая перчатки. Светоотражающие логотипы ASICS. Можно скрепить между собой, что уменьшает риск потери. Выполнены из смеси полиэстера, полиамида и эластана. </p><br>;;108487.0274;108487.0274;asics;["\/upload\/photo\/108487.0274\/01.jpg","\/upload\/photo\/108487.0274\/02.jpg","\/upload\/photo\/108487.0274\/03.jpg","\/upload\/photo\/108487.0274\/04.jpg","\/upload\/photo\/108487.0274\/05.jpg"];Фиолетовый;Фиолетовый;57b33c14-a6d5-11e4-b49e-2c768a5427a7
133016;95;;Baracuta Winter G9 Tan jacket;<p>Baracuta G9 появилась в 1937 году и за короткое время стала популярна в самых разных кругах. В наши дни этот харрингтон считается настоящим символом классического британского стиля в одежде. Зимняя версия культовой модели выполнена из материала Barapel – практичной смеси хлопка и полиэстера, обладающей прекрасными водоотталкивающими свойствами. Клетчатая подкладка из хлопка Coolmax – дышащей, отводящей влагу ткани. Наполнитель из Primaloft – быстро сохнущего и хорошо сохраняющего тепло материала. Два внешних кармана. Внутренний карман на пуговице. Made in England.</p><br>;;BRCPS0091_BCCL2_710;BRCPS0091_BCCL2_710;baracuta;["\/upload\/photo\/BRCPS0091_BCCL2_710\/01.jpg","\/upload\/photo\/BRCPS0091_BCCL2_710\/02.jpg","\/upload\/photo\/BRCPS0091_BCCL2_710\/03.jpg","\/upload\/photo\/BRCPS0091_BCCL2_710\/04.jpg","\/upload\/photo\/BRCPS0091_BCCL2_710\/05.jpg","\/upload\/photo\/BRCPS0091_BCCL2_710\/06.jpg","\/upload\/photo\/BRCPS0091_BCCL2_710\/07.jpg","\/upload\/photo\/BRCPS0091_BCCL2_710\/08.jpg","\/upload\/photo\/BRCPS0091_BCCL2_710\/09.jpg","\/upload\/photo\/BRCPS0091_BCCL2_710\/10.jpg","\/upload\/photo\/BRCPS0091_BCCL2_710\/11.jpg"];Бежевый;Бежевый;e8fb57c9-6a4a-11e4-835f-2c768a5427a7
53513;104;;Sunspel Seasonal Boxer White Stars;<p>Sunspel – один из старейших британских брендов, производящий качественный трикотаж с 1860 года. Классические боксеры, дизайн которых практически не изменился с 1947 года. Выполненные из натурального длинноволокнистого хлопка трусы Sunspel гарантируют комфорт и по праву считаются одними из лучших в мире. </p>;<p>Sunspel is one of the oldest British quality knitwear brands,<br><br>operating since 1860. The design of these classic boxers has hardly<br><br>changed since 1947. Made from natural long­staple cotton, they have<br><br>achieved an international recognition for their comfort. </p>;SUNSPEL5162.581WHTSTARS;SUNSPEL5162.581WHTSTARS;sunspel;["\/upload\/photo\/SUNSPEL5162.581WHTSTARS\/01.jpg","\/upload\/photo\/SUNSPEL5162.581WHTSTARS\/02.jpg","\/upload\/photo\/SUNSPEL5162.581WHTSTARS\/03.jpg"];Белый;Белый;dc737423-ade1-11e3-9ca6-2c768a5427a7
53455;104;;Sunspel French Stripe Low Waist Trunk White/Navy ;<p>Sunspel – один из старейших британских брендов, производящий качественный трикотаж с 1860 года. Классические боксеры из уникального трикотажа Q82, который является собственной разработкой Sunspel и производится из египетского хлопка двойного кручения. Имеют слегка заниженную посадку.</p><br>;;SUNSPEL4022SF.236WHTNAVY;SUNSPEL4022SF.236WHTNAVY;sunspel;["\/upload\/photo\/SUNSPEL4022SF.236WHTNAVY\/01.jpg","\/upload\/photo\/SUNSPEL4022SF.236WHTNAVY\/02.jpg","\/upload\/photo\/SUNSPEL4022SF.236WHTNAVY\/03.jpg"];Полоска;Полоска;dc7373e9-ade1-11e3-9ca6-2c768a5427a7
140409;135;;The North Face Venture Brushfire Orange/Persian Orange jacket;<p>Venture – легкая и практичная куртка, подходящая как для ранней весны, так и для более теплого времени года. Экологичная модель, отмеченная специальной премией журнала Backpacker Magazine за сознательное отношение к природным ресурсам. Выполнена из фирменного материала HyVent 2.5L, созданного на основе переработанного нейлона. Эта ткань обладает надежными водоотталкивающими свойствами и хорошо отводит лишнюю влагу. Капюшон затягивается тесемками для дополнительной защиты от ветра. Ширина манжет регулируется липучками. Два удобных внешних кармана на молнии.</p><br>;;T0A8ARY2X;T0A8ARY2X;the_north_face;["\/upload\/photo\/T0A8ARY2X\/01.jpg","\/upload\/photo\/T0A8ARY2X\/02.jpg","\/upload\/photo\/T0A8ARY2X\/03.jpg","\/upload\/photo\/T0A8ARY2X\/04.jpg","\/upload\/photo\/T0A8ARY2X\/05.jpg","\/upload\/photo\/T0A8ARY2X\/06.jpg","\/upload\/photo\/T0A8ARY2X\/07.jpg","\/upload\/photo\/T0A8ARY2X\/08.jpg","\/upload\/photo\/T0A8ARY2X\/09.jpg","\/upload\/photo\/T0A8ARY2X\/10.jpg","\/upload\/photo\/T0A8ARY2X\/11.jpg","\/upload\/photo\/T0A8ARY2X\/12.jpg","\/upload\/photo\/T0A8ARY2X\/13.jpg","\/upload\/photo\/T0A8ARY2X\/14.jpg","\/upload\/photo\/T0A8ARY2X\/15.jpg"];Оранжевый;Оранжевый;74abd38d-c709-11e4-b49e-2c768a5427a7
139998;146;;The North Face Rolling Thunder 30'' Luggage TNF Black suitcase;<p>Легкая дорожная сумка-чемодан, которую удобно использовать в длительных поездках. Вместительное основное отделение с внутренним карманом из сетчатого материала. Большой внешний карман на молнии и два отделения для мелочей на лицевой стороне. Выдвижная ручка с надписью «Never Stop Exploring» и полиуретановые колеса. Пластиковые бамперы в области колес защищают материал от протирания. Мягкие ручки для переноски на верхней части и на боковых сторонах. Выполнена из высокопрочного полиэстера и нейлона плотностью 1680D. Размеры: 40 x 76 x 33 см. Объем 80 л.</p><br>;;T0C096JK3;T0C096JK3;the_north_face;["\/upload\/photo\/T0C096JK3\/01.jpg","\/upload\/photo\/T0C096JK3\/02.jpg","\/upload\/photo\/T0C096JK3\/03.jpg","\/upload\/photo\/T0C096JK3\/04.jpg","\/upload\/photo\/T0C096JK3\/05.jpg","\/upload\/photo\/T0C096JK3\/06.jpg","\/upload\/photo\/T0C096JK3\/07.jpg","\/upload\/photo\/T0C096JK3\/08.jpg","\/upload\/photo\/T0C096JK3\/09.jpg","\/upload\/photo\/T0C096JK3\/10.jpg","\/upload\/photo\/T0C096JK3\/11.jpg","\/upload\/photo\/T0C096JK3\/12.jpg","\/upload\/photo\/T0C096JK3\/13.jpg","\/upload\/photo\/T0C096JK3\/14.jpg","\/upload\/photo\/T0C096JK3\/15.jpg","\/upload\/photo\/T0C096JK3\/16.jpg","\/upload\/photo\/T0C096JK3\/17.jpg","\/upload\/photo\/T0C096JK3\/18.jpg","\/upload\/photo\/T0C096JK3\/19.jpg","\/upload\/photo\/T0C096JK3\/20.jpg"];Черный;Черный;ac3a8eb1-c1a5-11e4-b49e-2c768a5427a7
126757;94;;Aspesi Funzionale Navy jacket;<p>Повседневная мужская одежда – одно из самых сильных направлений итальянской компании Aspesi. Ее сдержанная элегантность сочетается с технологичностью и удобством. Теплая куртка с наполнителем из гусиного пуха. Выполнена из прочного материала и обработана полиуретановым покрытием, обеспечивающим водостойкость, износостойкость и отличную защиту от ветра. Удлиненный воротник и теплый отстегивающийся капюшон.</p><br>;<p>Casual menswear is the strongest point of Italians Aspesi whose products combine smart elegance with comfort and high-tech. This warm jacket with down filling is made of a solid material and is coated with polyurethane for water resistance, durability and a perfect protection from wind. Extra-tall collar. Detachable hood. </p>;4I14_B772.01101;4I14_B772.01101;aspesi;["\/upload\/photo\/4I14_B772.01101\/01.jpg","\/upload\/photo\/4I14_B772.01101\/02.jpg","\/upload\/photo\/4I14_B772.01101\/03.jpg","\/upload\/photo\/4I14_B772.01101\/05.jpg","\/upload\/photo\/4I14_B772.01101\/04.jpg","\/upload\/photo\/4I14_B772.01101\/10.jpg","\/upload\/photo\/4I14_B772.01101\/07.jpg","\/upload\/photo\/4I14_B772.01101\/06.jpg","\/upload\/photo\/4I14_B772.01101\/09.jpg","\/upload\/photo\/4I14_B772.01101\/08.jpg"];Синий;Синий;d1537e78-44a9-11e4-8b00-2c768a5427a7
130391;149;;Lacoste Navy Blue socks;<p>Носки классической длины из практичной смеси хлопка, полиамида и эластана. Разработаны с учетом анатомических особенностей стопы. Фактурная верхняя часть обеспечивает комфортную посадку. Отличный выбор на каждый день.</p><br>;;RA1362166;RA1362166;lacoste;["\/upload\/photo\/RA1362166\/01.jpg","\/upload\/photo\/RA1362166\/02.jpg"];Синий;Синий;2bc31de5-5e95-11e4-b8ab-2c768a5427a7
22789;85;Чехол Property of… Alf Tablet Pouch Coal;Property of… Alf Tablet Pouch Coal;<p>Чехол для ноутбука из английского вощеного хлопка. Это практичный материал, который обладает отличными износостойкими и водоотталкивающими качествами. Подойдет для планшетного компьютера.</p><br>;<p>Laptop case made of English waxed cotton, a practical, durable and water-<br>resistant material. Suitable for tablets.</p>;PO12_004848A;PO12_004848A;property_of;["\/upload\/photo\/PO12_004848A\/01.jpg","\/upload\/photo\/PO12_004848A\/02.jpg","\/upload\/photo\/PO12_004848A\/03.jpg"];Синий;Синий;b81f50f3-8b6f-11e2-8c3a-0022b0529e45
132628;131;;Hestra Windstopper Pullover Mitt Black gloves;<p>Семейная шведская компания Hestra уже почти 80 лет специализируется исключительно на производстве теплых аксессуаров для суровых погодных условий. Варежки с откидной верхней частью. Выполнены из технологичного Windstopper Action Softshell – ветро- и водонепроницаемого материала, поддерживающего оптимальный температурный режим. Дополнительную защиту от холода обеспечивает подкладка из мягкой ткани. Широкие эластичные манжеты для комфортной посадки. Сенсорные вставки на больших пальцах позволяют пользоваться гаджетами в перчатках. </p><br>;;35501.100;35501.100;hestra;["\/upload\/photo\/35501.100\/01.jpg","\/upload\/photo\/35501.100\/02.jpg","\/upload\/photo\/35501.100\/03.jpg","\/upload\/photo\/35501.100\/04.jpg","\/upload\/photo\/35501.100\/05.jpg"];Черный;Черный;ea8b972c-658f-11e4-8341-2c768a5427a7
135088;111;;Engineered Garments Fatigue Pant Olive pants;<p>Нью-йоркский бренд Engineered Garments интерпретирует силуэты рабочей и военной одежды, пристальное внимание уделяя деталям и использованию инновационных материалов. Fatigue – модель, появляющаяся в каждой коллекции Engineered Garments. Брюки выполнены из плотного хлопка. Слегка зауженный книзу крой и средняя посадка. Четыре больших кармана. Made in New York.</p>;;F4F1285;F4F1285;engineered-garments;["\/upload\/photo\/F4F1285\/01.jpg","\/upload\/photo\/F4F1285\/02.jpg","\/upload\/photo\/F4F1285\/03.jpg","\/upload\/photo\/F4F1285\/04.jpg","\/upload\/photo\/F4F1285\/05.jpg","\/upload\/photo\/F4F1285\/06.jpg","\/upload\/photo\/F4F1285\/07.jpg"];Оливковый;Оливковый;b2c5bd32-7550-11e4-835f-2c768a5427a7
126763;95;;Aspesi New Chuck Navy jacket;<p>Повседневная мужская одежда – одно из самых сильных направлений итальянской компании Aspesi. Ее сдержанная элегантность сочетается с технологичностью и удобством. Выполнена из водоотталкивающего износостойкого материала. Утеплитель Thermore® создает правильный микроклимат и поддерживает комфортную температуру. В холодную погоду можно надевать в качестве второго слоя под зимнюю куртку. </p><br>;<p>Casual menswear is the strongest point of Italians Aspesi whose products combine smart elegance with comfort and high-tech. This jacket is made of a durable water-resistant material. Thermore® insulator keeps the warmth and supports a most comfortable micro-climate and temperature. Can be worn as an extra layer underneath a jacket in winter. </p>;1I24_7953.85101;1I24_7953.85101;aspesi;["\/upload\/photo\/1I24_7953.85101\/01.jpg","\/upload\/photo\/1I24_7953.85101\/02.jpg","\/upload\/photo\/1I24_7953.85101\/03.jpg","\/upload\/photo\/1I24_7953.85101\/08.jpg","\/upload\/photo\/1I24_7953.85101\/05.jpg","\/upload\/photo\/1I24_7953.85101\/04.jpg","\/upload\/photo\/1I24_7953.85101\/07.jpg","\/upload\/photo\/1I24_7953.85101\/06.jpg","\/upload\/photo\/1I24_7953.85101\/13.jpg","\/upload\/photo\/1I24_7953.85101\/09.jpg","\/upload\/photo\/1I24_7953.85101\/10.jpg","\/upload\/photo\/1I24_7953.85101\/11.jpg","\/upload\/photo\/1I24_7953.85101\/12.jpg","\/upload\/photo\/1I24_7953.85101\/14.jpg","\/upload\/photo\/1I24_7953.85101\/15.jpg"];Синий;Синий;d1537e7e-44a9-11e4-8b00-2c768a5427a7
125206;82;;Universal Works Classic Ecru shirt;<p>Независимая марка из английского Ноттингема знаменита тщательным выбором тканей и уникальным подходом к крою: это настоящая современная городская одежда, практичная и удобная. Рубашку Classic можно встретить в каждой коллекции бренда – она отлично садится по фигуре. Выполнена из хлопка оксфорд. </p><br>;;11606.ECRU;11606.ECRU;universal-works;["\/upload\/photo\/11606.ECRU\/01.jpg","\/upload\/photo\/11606.ECRU\/02.jpg","\/upload\/photo\/11606.ECRU\/03.jpg","\/upload\/photo\/11606.ECRU\/04.jpg","\/upload\/photo\/11606.ECRU\/05.jpg"];Белый;Белый;b0f1f8ea-43e9-11e4-8b00-2c768a5427a7
53456;104;;Sunspel French Stripe Low Waist Trunk Indigo/Orient Blue ;<p>Sunspel – один из старейших британских брендов, производящий качественный трикотаж с 1860 года. Классические боксеры из уникального трикотажа Q82, который является собственной разработкой Sunspel и производится из египетского хлопка двойного кручения. Имеют слегка заниженную посадку.</p><br>;;SUNSPEL4022SF.627INDBLUE;SUNSPEL4022SF.627INDBLUE;sunspel;["\/upload\/photo\/SUNSPEL4022SF.627INDBLUE\/01.jpg","\/upload\/photo\/SUNSPEL4022SF.627INDBLUE\/02.jpg","\/upload\/photo\/SUNSPEL4022SF.627INDBLUE\/03.jpg"];Полоска;Полоска;dc7373ea-ade1-11e3-9ca6-2c768a5427a7
130406;131;;Lacoste Sports Navy Blue gloves;<p>В рамках линии Lacoste L!ve создается качественная и функциональная одежда, а также практичные аксессуары. Перчатки из смеси полиэстера и эластана со вставками из мягкого флиса – гипоаллергенного синтетического материала, хорошо сохраняющего тепло. На область большого и указательного пальцев нанесен материал, позволяющий использовать гаджеты, не снимая перчатки.</p><br>;;RV3607KHK;RV3607KHK;lacoste;["\/upload\/photo\/RV3607KHK\/01.jpg","\/upload\/photo\/RV3607KHK\/02.jpg","\/upload\/photo\/RV3607KHK\/03.jpg","\/upload\/photo\/RV3607KHK\/04.jpg"];Синий;Синий;2bc31df4-5e95-11e4-b8ab-2c768a5427a7
